cell,logFC,score_R,score_NR
H2_P6_M82_L001,0.398592921809683,0.398592921809683,0
H2_P7_M82_L001,3.79662825048194,3.79662825048194,0
H2_P8_M82_L001,1.56617663423436,1.56617663423436,0
H2_P9_M82_L001,-0.609640130634053,0,0.609640130634053
H3_P6_M82_L001,1.24309598024191,1.24309598024191,0
H3_P7_M82_L001,0.655319365140852,0.655319365140852,0
H3_P8_M82_L001,0.521787286725627,0.521787286725627,0
H3_P9_M82_L001,0.471877301876264,0.471877301876264,0
H4_P6_M82_L001,4.39027582453941,4.39027582453941,0
H4_P7_M82_L001,-0.340832742660778,0,0.340832742660778
H4_P8_M82_L001,1.40302019148552,1.40302019148552,0
H4_P9_M82_L001,0.631521063946284,0.631521063946284,0
H5_P6_M82_L001,1.28720183649279,1.28720183649279,0
H5_P7_M82_L001,0.899702543927382,0.899702543927382,0
H5_P8_M82_L001,0.667792306016417,0.667792306016417,0
H5_P9_M82_L001,-0.680799306405093,0,0.680799306405093
H6_P6_M82_L001,0.49066206388236,0.49066206388236,0
H6_P7_M82_L001,-0.307269527189882,0,0.307269527189882
H6_P8_M82_L001,1.23476445091571,1.23476445091571,0
H6_P9_M82_L001,2.12906276248868,2.12906276248868,0
H7_P6_M82_L001,-0.0278657009211669,0,0.0278657009211669
H7_P7_M82_L001,0.993002671965707,0.993002671965707,0
H7_P9_M82_L001,-0.956961847390547,0,0.956961847390547
H8_P7_M82_L001,-2.03726892171732,0,2.03726892171732
H8_P8_M82_L001,0.656046141311998,0.656046141311998,0
H8_P9_M82_L001,0.0214804353329867,0.0214804353329867,0
H9_P6_M82_L001,1.24557530293568,1.24557530293568,0
H9_P7_M82_L001,-0.0419637337354691,0,0.0419637337354691
H9_P8_M82_L001,-0.354951562230589,0,0.354951562230589
H9_P9_M82_L001,-1.58346075650203,0,1.58346075650203
A10_P1_M24_L001,-0.416752572624836,0,0.416752572624836
A10_P2_M24_L001,-2.35225467297091,0,2.35225467297091
A10_P3_M24_L001,1.90759361004405,1.90759361004405,0
A10_P4_M24_L001,-1.52000156681447,0,1.52000156681447
A11_P1_M24_L001,-1.02716041119583,0,1.02716041119583
A11_P2_M24_L001,0.0288980285885537,0.0288980285885537,0
A11_P3_M24_L001,-0.536301053148007,0,0.536301053148007
A11_P4_M24_L001,-0.0121001144021032,0,0.0121001144021032
A12_P1_M24_L001,-1.38509955289338,0,1.38509955289338
A12_P2_M24_L001,-0.672422603105873,0,0.672422603105873
A12_P3_M24_L001,-0.98403369042927,0,0.98403369042927
A12_P4_M24_L001,1.62337116201178,1.62337116201178,0
A2_P1_M24_L001,-0.820687780328217,0,0.820687780328217
A2_P2_M24_L001,0.811438378705296,0.811438378705296,0
A2_P3_M24_L001,-0.48565351197867,0,0.48565351197867
A2_P4_M24_L001,-0.649255620599431,0,0.649255620599431
A3_P1_M24_L001,-1.29408826564069,0,1.29408826564069
A3_P2_M24_L001,0.889260689739947,0.889260689739947,0
A3_P3_M24_L001,0.413904032405654,0.413904032405654,0
A3_P4_M24_L001,-1.19335188840474,0,1.19335188840474
A4_P1_M24_L001,-0.387238623275966,0,0.387238623275966
A4_P2_M24_L001,-1.4906333365142,0,1.4906333365142
A4_P3_M24_L001,-2.44875003423165,0,2.44875003423165
A4_P4_M24_L001,-0.0561606705724245,0,0.0561606705724245
A5_P1_M24_L001,-1.77916919408297,0,1.77916919408297
A5_P2_M24_L001,0.424789221651383,0.424789221651383,0
A5_P3_M24_L001,-0.864341801956784,0,0.864341801956784
A5_P4_M24_L001,1.04133435071795,1.04133435071795,0
A6_P1_M24_L001,1.63815324679002,1.63815324679002,0
A6_P2_M24_L001,-2.41586008324281,0,2.41586008324281
A6_P3_M24_L001,2.42984453452774,2.42984453452774,0
A6_P4_M24_L001,-1.52831092729563,0,1.52831092729563
A7_P1_M24_L001,-1.07590498830698,0,1.07590498830698
A7_P4_M24_L001,0.771326255091048,0.771326255091048,0
A8_P1_M24_L001,2.76401577693212,2.76401577693212,0
A8_P2_M24_L001,-1.19972225409208,0,1.19972225409208
A8_P3_M24_L001,1.77081717116566,1.77081717116566,0
A8_P4_M24_L001,-1.11967674734326,0,1.11967674734326
A9_P1_M24_L001,-0.189260905700894,0,0.189260905700894
A9_P2_M24_L001,-1.92194857506372,0,1.92194857506372
A9_P3_M24_L001,-1.03992242731454,0,1.03992242731454
A9_P4_M24_L001,-1.31520773272909,0,1.31520773272909
B10_P1_M24_L001,-1.4369167911106,0,1.4369167911106
B10_P2_M24_L001,-1.13177963907834,0,1.13177963907834
B10_P3_M24_L001,-2.86885694581901,0,2.86885694581901
B10_P4_M24_L001,-1.52104750549616,0,1.52104750549616
B11_P1_M24_L001,-1.67154190346553,0,1.67154190346553
B11_P2_M24_L001,0.0677136987324304,0.0677136987324304,0
B11_P3_M24_L001,-0.322176047941683,0,0.322176047941683
B11_P4_M24_L001,-0.92029138730538,0,0.92029138730538
B12_P1_M24_L001,-2.74856781214567,0,2.74856781214567
B12_P2_M24_L001,-0.928003149489735,0,0.928003149489735
B12_P3_M24_L001,-0.260519691430496,0,0.260519691430496
B12_P4_M24_L001,-1.27549826253723,0,1.27549826253723
B1_P1_M24_L001,-0.91509157610954,0,0.91509157610954
B1_P2_M24_L001,-0.601579391758736,0,0.601579391758736
B1_P3_M24_L001,-1.02548011515323,0,1.02548011515323
B1_P4_M24_L001,-0.0526004957312401,0,0.0526004957312401
